date,borough,complaint_group,request_volume
2022-01-01,Bronx,Housing,261
2022-01-01,Bronx,Noise,510
2022-01-01,Bronx,Other,72
2022-01-01,Bronx,Public Safety,25
2022-01-01,Bronx,Sanitation,25
2022-01-01,Bronx,Street Condition,17
2022-01-01,Bronx,Traffic,178
2022-01-01,Bronx,Water,21
2022-01-01,Brooklyn,Housing,195
2022-01-01,Brooklyn,Noise,482
2022-01-01,Brooklyn,Other,268
2022-01-01,Brooklyn,Public Safety,107
2022-01-01,Brooklyn,Sanitation,87
2022-01-01,Brooklyn,Street Condition,51
2022-01-01,Brooklyn,Traffic,359
2022-01-01,Brooklyn,Water,61
2022-01-01,Manhattan,Housing,209
2022-01-01,Manhattan,Noise,540
2022-01-01,Manhattan,Other,169
2022-01-01,Manhattan,Public Safety,271
2022-01-01,Manhattan,Sanitation,43
2022-01-01,Manhattan,Street Condition,21
2022-01-01,Manhattan,Traffic,108
2022-01-01,Manhattan,Water,11
2022-01-01,Queens,Housing,98
2022-01-01,Queens,Noise,595
2022-01-01,Queens,Other,248
2022-01-01,Queens,Public Safety,69
2022-01-01,Queens,Sanitation,56
2022-01-01,Queens,Street Condition,39
2022-01-01,Queens,Traffic,376
2022-01-01,Queens,Water,35
2022-01-01,Staten Island,Housing,18
2022-01-01,Staten Island,Noise,48
2022-01-01,Staten Island,Other,56
2022-01-01,Staten Island,Public Safety,16
2022-01-01,Staten Island,Sanitation,46
2022-01-01,Staten Island,Street Condition,15
2022-01-01,Staten Island,Traffic,34
2022-01-01,Staten Island,Water,17
2022-01-02,Bronx,Housing,402
2022-01-02,Bronx,Noise,265
2022-01-02,Bronx,Other,104
2022-01-02,Bronx,Public Safety,14
2022-01-02,Bronx,Sanitation,31
2022-01-02,Bronx,Street Condition,33
2022-01-02,Bronx,Traffic,265
2022-01-02,Bronx,Water,33
2022-01-02,Brooklyn,Housing,359
2022-01-02,Brooklyn,Noise,314
2022-01-02,Brooklyn,Other,446
2022-01-02,Brooklyn,Public Safety,40
2022-01-02,Brooklyn,Sanitation,94
2022-01-02,Brooklyn,Street Condition,107
2022-01-02,Brooklyn,Traffic,576
2022-01-02,Brooklyn,Water,67
2022-01-02,Manhattan,Housing,363
2022-01-02,Manhattan,Noise,414
2022-01-02,Manhattan,Other,282
2022-01-02,Manhattan,Public Safety,267
2022-01-02,Manhattan,Sanitation,57
2022-01-02,Manhattan,Street Condition,30
2022-01-02,Manhattan,Traffic,120
2022-01-02,Manhattan,Water,37
2022-01-02,Queens,Housing,164
2022-01-02,Queens,Noise,370
2022-01-02,Queens,Other,417
2022-01-02,Queens,Public Safety,36
2022-01-02,Queens,Sanitation,57
2022-01-02,Queens,Street Condition,101
2022-01-02,Queens,Traffic,481
2022-01-02,Queens,Water,56
2022-01-02,Staten Island,Housing,22
2022-01-02,Staten Island,Noise,23
2022-01-02,Staten Island,Other,93
2022-01-02,Staten Island,Public Safety,6
2022-01-02,Staten Island,Sanitation,64
2022-01-02,Staten Island,Street Condition,16
2022-01-02,Staten Island,Traffic,47
2022-01-02,Staten Island,Water,33
2022-01-03,Bronx,Housing,1237
2022-01-03,Bronx,Noise,153
2022-01-03,Bronx,Other,139
2022-01-03,Bronx,Public Safety,23
2022-01-03,Bronx,Sanitation,45
2022-01-03,Bronx,Street Condition,107
2022-01-03,Bronx,Traffic,232
2022-01-03,Bronx,Water,84
2022-01-03,Brooklyn,Housing,1012
2022-01-03,Brooklyn,Noise,205
2022-01-03,Brooklyn,Other,553
2022-01-03,Brooklyn,Public Safety,55
2022-01-03,Brooklyn,Sanitation,145
2022-01-03,Brooklyn,Street Condition,191
2022-01-03,Brooklyn,Traffic,516
2022-01-03,Brooklyn,Water,82
2022-01-03,Manhattan,Housing,669
2022-01-03,Manhattan,Noise,309
2022-01-03,Manhattan,Other,337
2022-01-03,Manhattan,Public Safety,196
2022-01-03,Manhattan,Sanitation,99
2022-01-03,Manhattan,Street Condition,81
2022-01-03,Manhattan,Traffic,111
2022-01-03,Manhattan,Water,39
2022-01-03,Queens,Housing,439
2022-01-03,Queens,Noise,220
2022-01-03,Queens,Other,460
2022-01-03,Queens,Public Safety,42
2022-01-03,Queens,Sanitation,66
2022-01-03,Queens,Street Condition,206
2022-01-03,Queens,Traffic,572
2022-01-03,Queens,Water,82
2022-01-03,Staten Island,Housing,46
2022-01-03,Staten Island,Noise,20
2022-01-03,Staten Island,Other,106
2022-01-03,Staten Island,Public Safety,3
2022-01-03,Staten Island,Sanitation,55
2022-01-03,Staten Island,Street Condition,122
2022-01-03,Staten Island,Traffic,57
2022-01-03,Staten Island,Water,27
2022-01-04,Bronx,Housing,1200
2022-01-04,Bronx,Noise,147
2022-01-04,Bronx,Other,177
2022-01-04,Bronx,Public Safety,21
2022-01-04,Bronx,Sanitation,62
2022-01-04,Bronx,Street Condition,109
2022-01-04,Bronx,Traffic,261
2022-01-04,Bronx,Water,56
2022-01-04,Brooklyn,Housing,964
2022-01-04,Brooklyn,Noise,218
2022-01-04,Brooklyn,Other,512
